ev_id,arrival_period_raw,departure_period_raw,arrival_slot,departure_slot,departure_slot_exclusive,available_periods
872,1,55,0,53,54,54
873,1,55,0,53,54,54
874,1,55,0,53,54,54
875,1,55,0,53,54,54
876,1,55,0,53,54,54
877,1,55,0,53,54,54
878,1,55,0,53,54,54
879,1,55,0,53,54,54
880,1,55,0,53,54,54
881,1,55,0,53,54,54
882,1,55,0,53,54,54
883,1,55,0,53,54,54
884,1,55,0,53,54,54
885,1,55,0,53,54,54
886,1,55,0,53,54,54
887,1,55,0,53,54,54
888,1,55,0,53,54,54
889,1,55,0,53,54,54
890,1,55,0,53,54,54
891,1,55,0,53,54,54
892,1,55,0,53,54,54
893,1,55,0,53,54,54
894,1,55,0,53,54,54
895,1,55,0,53,54,54
896,1,55,0,53,54,54
897,1,55,0,53,54,54
898,1,55,0,53,54,54
899,1,55,0,53,54,54
900,1,55,0,53,54,54
901,1,55,0,53,54,54
902,1,55,0,53,54,54
903,1,55,0,53,54,54
904,1,55,0,53,54,54
905,1,55,0,53,54,54
906,1,55,0,53,54,54
907,1,55,0,53,54,54
908,1,55,0,53,54,54
909,1,55,0,53,54,54
910,1,55,0,53,54,54
911,1,55,0,53,54,54
912,1,55,0,53,54,54
913,1,55,0,53,54,54
914,1,55,0,53,54,54
915,1,55,0,53,54,54
916,1,55,0,53,54,54
917,1,55,0,53,54,54
918,1,55,0,53,54,54
919,1,55,0,53,54,54
920,1,55,0,53,54,54
921,1,55,0,53,54,54
922,1,55,0,53,54,54
923,1,55,0,53,54,54
924,1,55,0,53,54,54
925,1,55,0,53,54,54
926,1,55,0,53,54,54
927,1,56,0,54,55,55
928,1,56,0,54,55,55
929,1,56,0,54,55,55
930,1,56,0,54,55,55
931,1,56,0,54,55,55
932,1,56,0,54,55,55
933,1,56,0,54,55,55
934,1,56,0,54,55,55
935,1,56,0,54,55,55
936,1,56,0,54,55,55
937,1,56,0,54,55,55
938,1,56,0,54,55,55
939,1,56,0,54,55,55
940,1,56,0,54,55,55
941,1,56,0,54,55,55
942,1,56,0,54,55,55
943,1,56,0,54,55,55
944,1,56,0,54,55,55
945,1,56,0,54,55,55
946,1,56,0,54,55,55
947,1,56,0,54,55,55
948,1,56,0,54,55,55
949,1,56,0,54,55,55
950,1,56,0,54,55,55
951,1,56,0,54,55,55
952,1,56,0,54,55,55
953,1,56,0,54,55,55
954,1,56,0,54,55,55
955,1,56,0,54,55,55
956,1,56,0,54,55,55
957,1,56,0,54,55,55
958,1,56,0,54,55,55
959,1,56,0,54,55,55
960,1,56,0,54,55,55
961,1,56,0,54,55,55
962,1,56,0,54,55,55
963,1,56,0,54,55,55
964,1,56,0,54,55,55
965,1,56,0,54,55,55
966,1,56,0,54,55,55
967,1,56,0,54,55,55
968,1,56,0,54,55,55
969,1,56,0,54,55,55
970,1,56,0,54,55,55
971,1,56,0,54,55,55
972,1,56,0,54,55,55
973,1,56,0,54,55,55
974,1,56,0,54,55,55
975,1,56,0,54,55,55
976,1,56,0,54,55,55
977,1,56,0,54,55,55
978,1,56,0,54,55,55
